Year,Month,DayPeriod,Type,Operator,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity
1938,Jun,Unknown,De Havilland DH-85,Wilson Airways,Land,Unknown,Tanganyika,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1936,Nov,Unknown,Junkers JU-52,Deutsche Lufthansa,Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,15,0,11,Partial Survived
1938,May,Night,Douglas DST-A-207A,United Air Lines,Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Landing,10,0,10,None Survived
1962,Sep,Afternoon,Lockheed P2V-7,Military - Japan Maritime Self Defense Force,Land,Asia,Japan,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,12,1,12,None Survived
1943,Oct,Unknown,Consolidated B-24,Military - Royal Canadian Air Force,Land,North America,Canada,Unknown,Unknown,Quebec,Weather,Snow,No,Unknown,24,0,24,None Survived
1988,Feb,Unknown,CASA 212 Aviocar 200,Fuerza Aérea Panamena,Land,North America,Panama,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,16,0,16,None Survived
1938,Nov,Morning,de Havilland DH-86,Jersey Airways,Watery,Unknown,Unknown,Channel,Channel,Unknown,Unknown,Unknown,No,Unknown,14,1,14,None Survived
1989,Nov,Evening,Antonov AN-24,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Weather,Snow,No,Landing,42,0,34,Partial Survived
1991,Mar,Morning,Boeing B-737-291,United Air Lines,Land,North America,United States,Unknown,Unknown,Colorado,Unknown,Unknown,No,Landing,25,0,25,None Survived
2002,Apr,Morning,Shrike Commander 500S,Air Taxi,Land,Oceania,Australia,Unknown,Unknown,QLD,Weather,Rain,No,En Route,4,0,4,None Survived
1999,Dec,Unknown,Airbus A300B2-101,Indian Airlines,Land,Asia,Afghanistan,Unknown,Unknown,India / Kandahar,Unknown,Unknown,No,Unknown,189,0,1,Partial Survived
2004,Mar,Morning,Ilyushin II-76,Azov Avia Airlines,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,7,0,3,Partial Survived
2003,Aug,Afternoon,Beechcraft 1900D,US Airways Express,Land,North America,United States,Unknown,Unknown,Massachusetts,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1926,May,Unknown,Breguet 14,Air Union,Watery,Europe,Unknown,Channel,English Channel,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived
1962,Mar,Unknown,Nord 2501 Noratlas,Military - French Air Force,Land,Africa,Algeria,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,11,0,11,None Survived
1979,Mar,Evening,Tupolev TU-104B,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,106,0,86,Partial Survived
1996,Jan,Afternoon,Mil Mi-17 (helicopter),Military - Sri Lanka Air Force,Land,Asia,Sri Lanka,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,39,0,39,None Survived
1977,Oct,Evening,Bell 206B,Air Logistics,Land,North America,United States,Unknown,Unknown,Louisiana,Weather,Fog,No,Unknown,2,0,2,None Survived
1952,Dec,Unknown,Lisunov Li-2,TABSO,Land,Unknown,Unknown,Unknown,Unknown,Bugaria,Unknown,Unknown,No,En Route,18,0,18,None Survived
1972,Jun,Afternoon,Convair CV-880-22M-21,Cathay PacifiAirways,Land,Asia,Vietnam,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,81,0,81,None Survived
1951,Apr,Unknown,Douglas DC-3,Siamese Airways,Land,Asia,Hong Kong,Unknown,Unknown,Unknown,Weather,Fog,No,Landing,16,0,16,None Survived
1946,Aug,Unknown,Avro 691 Lancastrian 1,British Overseas Airways,Land,Europe,France,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,9,0,8,Partial Survived
1975,Feb,Night,Hawker Siddeley HS-748 2,Philippine Air Lines,Land,Asia,Philippines,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,33,0,32,Partial Survived
1932,Mar,Unknown,Fokker F-10A,American Airways,Land,North America,United States,Unknown,Unknown,California,Weather,Fog,No,Unknown,7,0,7,None Survived
1967,Jul,Morning,Douglas DC-4-1009,Air Madagascar,Land,Unknown,Unknown,Unknown,Unknown,Malagasy Republic,Weather,Fog,No,Landing,42,0,42,None Survived
1949,Dec,Unknown,Douglas DC-3,Mexicana,Land,North America,Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,17,0,17,None Survived
2000,Jul,Afternoon,Aerospatiale BAe Concorde 101,Air France,Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,109,4,109,None Survived
1947,Aug,Unknown,Douglas DC-3F,AB Aerotransport,Land,Europe,Sweden,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,5,0,1,Partial Survived
1970,Sep,Unknown,Yakovlev YAK-40,Aeroflot,Land,Europe,Soviet Union,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,22,0,22,None Survived
1989,Oct,Morning,Boeing B-727-224,TAN,Land,North America,Honduras,Unknown,Unknown,Unknown,Weather,Rain,No,Landing,146,0,127,Partial Survived
1922,Apr,Unknown,de Havilland DH-18 / Farman F-60 Goliath,Daimler Airways / Grands Express Aeriens,Land,Europe,France,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,7,0,7,None Survived
1971,Aug,Evening,Piper PA-31,Downeast Airlines,Land,North America,United States,Unknown,Unknown,Maine,Weather,Fog,No,Landing,8,0,3,Partial Survived
1968,Apr,Afternoon,Cessna 182,Canair Corp. - Air Taxi,Land,Europe,Georgia,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,4,0,4,None Survived
1954,Feb,Afternoon,Curtiss-Wright C46D-CU,Military - U.S. Air Force,Land,Asia,Japan,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,35,0,35,None Survived
1942,Jul,Afternoon,Douglas C-49E,Military - U.S. Army Air Forces,Land,North America,United States,Unknown,Unknown,West Virginia,Weather,Thunderstorm,No,Unknown,21,0,21,None Survived
1968,Feb,Evening,Cessna 210,Havasu City Air - Air Taxi,Land,North America,United States,Unknown,Unknown,Utah,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1971,Jul,Unknown,Tupolev TU-104B,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,126,0,97,Partial Survived
1972,Apr,Unknown,Curtiss C-46F,AVENSA,Land,South America,Venezuela,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1946,Jan,Evening,Douglas C-47 Dakota,Military -Royal Air Force,Land,Europe,France,Unknown,Unknown,Unknown,Weather,Snow,No,Unknown,25,0,23,Partial Survived
1981,Oct,Unknown,de Havilland Canada DHC-6 Twin Otter 300,Cameroon Airlines,Land,Africa,Cameroon,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,24,0,1,Partial Survived
1984,Jun,Unknown,Embraer 110C Bandeirante,TAM Lineas Aéreas Regional,Land,South America,Brazil,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,18,0,18,None Survived
1970,Apr,Unknown,Fairchild C-119G,Military - Italian Air Force,Land,Europe,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,19,0,19,None Survived
1935,Aug,Evening,"Waco, model YLC",Aero Mayflower Transit Co,Land,North America,United States,Unknown,Unknown,Wyoming,Weather,Fog,No,Unknown,3,0,3,None Survived
1973,Feb,Morning,Tupolev TU-154,Aeroflot,Land,Unknown,Unknown,Unknown,Unknown,Czechoslovakia,Unknown,Unknown,No,Landing,100,0,66,Partial Survived
1935,Jul,Unknown,Fokker F-XXII,KLM Royal Dutch Airlines,Land,Europe,Netherlands,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,20,0,6,Partial Survived
2008,Mar,Afternoon,Mi-17,United Nations Mission,Land,Asia,Nepal,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,10,0,10,None Survived
2007,Jun,Evening,Mi-8,Paramount Airlilnes,Land,Africa,Sierra Leone,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,22,0,21,Partial Survived
1984,Aug,Unknown,Antonov AN-12BP,Aeroflot,Land,Asia,Pakistan,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,24,0,24,None Survived
1991,Aug,Night,Aerospatiale 350B1,Air Taxi - Bohemia Inc.,Land,North America,United States,Unknown,Unknown,Oregon,Mechanical,Rain,No,Unknown,3,0,3,None Survived
1990,Aug,Night,Lockheed C-5A,Military - U.S. Air Force,Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,17,0,13,Partial Survived
1974,Oct,Morning,de Havilland DHC-2,Webber Airlines -Air Taxi,Land,North America,United States,Unknown,Unknown,Alaska,Weather,Fog,No,Takeoff,8,0,5,Partial Survived
1996,Aug,Morning,Tupolev TU-154M,Vnokovo Airlines,Land,Europe,Norway,Unknown,Unknown,Unknown,Weather,Unknown,No,Landing,141,0,141,None Survived
1989,Jun,Night,McDonnell Douglas DC-8 Super 62,Surinam Airways,Land,Unknown,Unknown,Unknown,Unknown,Surinam,Weather,Fog,No,Landing,187,0,176,Partial Survived
1997,Dec,Night,Yakovlev YAK-42,Aerosweet Airlines (LVOV),Land,Europe,Greece,Unknown,Unknown,Unknown,Weather,Rain,No,Landing,70,0,70,None Survived
1985,Sep,Afternoon,Cessna 208 Caravan I,Air Carriers Express Services Inc,Land,Europe,Georgia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,17,0,17,None Survived
1985,Oct,Unknown,Fokker F-27 Friendship 600,Burma Airways,Land,Asia,Myanmar,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1992,Jan,Morning,Beechcraft 1900C,Commutair,Land,North America,United States,Unknown,Unknown,New York,Unknown,Unknown,No,Landing,4,0,2,Partial Survived
1989,Sep,Unknown,Antonov An-32,MAP,Land,Europe,Ukraine,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,9,0,9,None Survived
2001,Oct,Afternoon,Tupolev Tu-154M,Sibir Airlines,Land,Europe,Russia,Unknown,Unknown,Unknown,Weather,Rain,No,En Route,78,0,78,None Survived
1951,Jun,Unknown,Junkers 52/3m,JAT Yugoslav Airlines,Land,Europe,Yugoslavia,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,14,0,14,None Survived
1964,Nov,Evening,Douglas DC-4,Air Congo,Land,Unknown,Unknown,Unknown,Unknown,Zaire,Unknown,Unknown,No,Unknown,14,0,6,Partial Survived
1958,Sep,Unknown,Vickers 621 Viking 1,Independent Air Travel,Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,4,3,None Survived
1951,Oct,Evening,Consolidated PBY-5A Catalina,Queen Charlotte Airlines,Land,North America,Canada,Unknown,Unknown,BC,Weather,Unknown,No,Unknown,23,0,23,None Survived
1929,Mar,Morning,Fokker F-VIIA,New Standard Airlines,Land,North America,United States,Unknown,Unknown,California,Weather,Fog,No,Unknown,4,0,4,None Survived
1995,May,Afternoon,Curtiss C-46F,ADES Colombia,Land,South America,Colombia,Unknown,Unknown,Unknown,Weather,Unknown,No,Landing,9,0,9,None Survived
1989,Sep,Afternoon,McDonnell Douglas DC-10-30,Union des Transportes Aeriens,Land,Africa,Niger,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,171,0,171,None Survived
1985,Jan,Morning,Lockheed C-130A,Military - U.S. Air Force,Land,North America,Honduras,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,21,0,21,None Survived
2004,May,Morning,Cessna 208 Grand Caravan I,Venezuelian Government,Land,South America,Venezuela,Unknown,Unknown,Unknown,Weather,Unknown,No,En Route,7,0,7,None Survived
1967,Jun,Unknown,Lockheed C-130B Hercules,Military - U.S. Air Force,Land,Asia,Vietnam,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1994,Nov,Morning,Britten Norman BN-2A Trislander,Southwest Air,Land,Oceania,Papua New Guinea,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,7,0,7,None Survived
1979,Jan,Evening,Aerostar 601,L.J. Simmons - Air Taxi,Land,North America,United States,Unknown,Unknown,Michigan,Weather,Unknown,No,Unknown,6,0,4,Partial Survived
1983,Nov,Unknown,de Havilland Canada DHC-6 Twin Otter 300,Austin Airways,Land,North America,Canada,Unknown,Unknown,Unknown,Weather,Snow,No,Landing,7,0,4,Partial Survived
1956,Oct,Night,Curtiss C-46,Military - Egyptian Air Force,Watery,Europe,Unknown,Sea,Mediterranean Sea,Unknown,Unknown,Unknown,No,En Route,23,0,23,None Survived
1951,May,Afternoon,Convair B-36D,Military - U.S. Air Force,Land,North America,United States,Unknown,Unknown,New Mexico,Unknown,Unknown,No,Unknown,25,0,23,Partial Survived
1973,Feb,Evening,Cessna 310J,Air Taxi,Land,North America,United States,Unknown,Unknown,Vermont,Weather,Fog,No,Unknown,2,0,2,None Survived
1953,Feb,Evening,Curtiss-Wright C-46,Military - Egyptian Air Force,Land,Africa,Egypt,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,35,0,30,Partial Survived
1993,Dec,Evening,Israel Aircraft Industries 1124A,Air Taxi - Martin Aviation LP,Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,Landing,5,0,5,None Survived
1964,Dec,Night,Curtis C-46A,Zantop Air Transport,Land,North America,United States,Unknown,Unknown,Michigan,Weather,Unknown,No,Landing,4,0,4,None Survived
1961,Sep,Night,Douglas DC-6B,President Airlines,Land,Europe,Ireland,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,83,0,83,None Survived
1974,Sep,Morning,Boeing B-727-121C,Air Vietnam (South Vietnam),Land,Asia,Vietnam,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,75,0,75,None Survived
1985,Sep,Unknown,Antonov An-12,MAP,Land,Europe,Ukraine,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,9,0,9,None Survived
1985,Oct,Evening,Learjet 24XR,Jet Alaska,Land,North America,United States,Unknown,Unknown,Alaska,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1936,Sep,Unknown,Lockheed Vega 5C,Blue Bird Air Service,Land,North America,United States,Unknown,Unknown,Illinois,Unknown,Unknown,No,Landing,4,0,4,None Survived
1994,May,Unknown,Embraer 110 Bandeirante,Rico Taxi Aero,Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,16,0,8,Partial Survived
1994,Sep,Evening,Boeing B-737-3B7,USAir,Land,North America,United States,Unknown,Unknown,Pennsylvania,Weather,Rain,No,Landing,132,0,132,None Survived
1996,Apr,Unknown,Dornier 228-212,Formosa Airlines,Land,Asia,Taiwan,Unknown,Unknown,Unknown,Weather,Fog,No,Landing,17,0,6,Partial Survived
1970,Nov,Evening,McDonnell Douglas DC-9-31,Southern Airways,Land,North America,United States,Unknown,Unknown,West Virginia,Weather,Fog,No,Landing,75,0,75,None Survived
1960,Feb,Unknown,Douglas DC-4,Lloyd Aereo Boliviano,Land,Unknown,Unknown,Unknown,Unknown,Boliva,Unknown,Unknown,No,Unknown,59,0,59,None Survived
1969,Nov,Evening,Fairchild-Hiller FH-227B,Mohawk Airlines,Land,Unknown,New York,Unknown,Unknown,Glen Falls,Unknown,Clear,No,Unknown,14,0,14,None Survived
1984,Feb,Unknown,Antonov AN-12,Military - Ethiopian Air Force,Land,Africa,Ethiopia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,38,0,26,Partial Survived
1990,Oct,Evening,McDonnell Douglas DC-9-31,Eastern Air Lines,Land,North America,United States,Unknown,Unknown,Florida,Weather,Thunderstorm,No,Unknown,97,0,1,Partial Survived
1977,Apr,Unknown,Antonov An-24,Military - Soviet Air Force,Land,Europe,Estonia,Unknown,Unknown,Unknown,Weather,Snow,No,Unknown,21,0,21,None Survived
1989,Jun,Unknown,Cessna 404 Titan Courier II,Formosa Airlines,Land,Asia,Taiwan,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,13,0,12,Partial Survived
2005,Feb,Evening,Cessna P210N,Action Air Express Inc. - Air Taxi,Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1986,Jun,Morning,de Havilland Can. DHC-6 -300/ Bell 206B,Grand Canyon Airlines / Helitech,Land,North America,United States,Unknown,Unknown,Arizona,External,Unknown,No,Unknown,25,0,25,None Survived
1954,Nov,Unknown,Douglas DC-3,TAM (Brazil),Land,South America,Peru,Unknown,Unknown,Cerro de Pasco,Unknown,Unknown,No,En Route,24,0,24,None Survived
1972,Apr,Morning,BAC Super VC-10 1154,East African Airways,Land,Africa,Ethiopia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,107,0,43,Partial Survived
1964,Jan,Morning,Douglas DC-3,Aerolineas Litoral Argentina,Land,South America,Argentina,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,30,0,28,Partial Survived
1981,Feb,Night,Sikorsky S-62A,Helicopter - Air Taxi,Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,Unknown,8,0,2,Partial Survived
1946,Sep,Morning,Douglas DC-3,Air France,Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,26,1,20,Partial Survived
1938,Feb,Unknown,V6 (airship),TsAGI,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,19,0,13,Partial Survived
2002,Jan,Evening,Piper PA-31-250,Air Taxi - Air Taxi Inc.,Land,North America,United States,Unknown,Unknown,Florida,Unknown,Unknown,No,En Route,5,0,5,None Survived
1963,Aug,Afternoon,Curtiss C-46F-1-CU,American Air  Export & Import Co.,Land,North America,United States,Unknown,Unknown,Montana,Unknown,Unknown,No,Takeoff,2,0,1,Partial Survived
1956,May,Unknown,Douglas DC-3,Indian Airlines,Land,Asia,Nepal,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,33,1,14,Partial Survived
2000,Sep,Afternoon,Piper PA-31-350 Navajo,Cape Smythe Air Service,Land,North America,United States,Unknown,Unknown,Alaska,Unknown,Unknown,No,Landing,10,0,5,Partial Survived
1985,Feb,Morning,Boeing B-727-256,Iberia Airlines,Land,Europe,Spain,Unknown,Unknown,Vizcaya,Unknown,Unknown,No,Unknown,148,0,148,None Survived
1943,Jun,Unknown,Lockheed Hudson VI,British Overseas Airways,Land,Africa,Sudan,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,17,0,17,None Survived
2000,Oct,Evening,Ilyushin IL-18D,Military - Russian Air Force,Land,Unknown,Unknown,Unknown,Unknown,Republiof Georgia,Weather,Rain,No,Landing,86,0,86,None Survived
2007,Mar,Morning,Boeing B-737-497,Garuda Indonesia Airlines,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,140,0,22,Partial Survived
1974,Oct,Unknown,Lockheed WC-130H Hercules,Military - U.S. Air Force,Watery,Unknown,Unknown,Channel,Formosa Strait,Unknown,Unknown,Unknown,No,Unknown,6,0,6,None Survived
1951,Oct,Unknown,Douglas DC-3,JAT Yugoslav Airlines,Land,Europe,Yugoslavia,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,12,0,12,None Survived
1945,Jun,Unknown,Unknown,Military - Royal Indian Air Force,Land,Asia,India,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,36,2,None Survived
1988,Sep,Afternoon,Britten-Norman BN-2A Islander,Wrangell Air Service,Land,North America,United States,Unknown,Unknown,Alaska,Weather,Fog,No,Unknown,10,0,1,Partial Survived
1958,Apr,Unknown,Junkers JU-52/3m,Transportes Aereos Orientales,Land,South America,Ecuador,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,14,0,3,Partial Survived
1983,Aug,Unknown,Britten-Norman BN-2A-21 Islander,Bali International Air Service,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1995,Sep,Afternoon,Fokker 50,Malaysia Airlines,Land,Asia,Malaysia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,53,0,34,Partial Survived
1956,Oct,Unknown,Douglas DC-3,Indian Airlines,Land,Asia,India,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1963,Mar,Evening,Piper PA-24-250 Comanche,Private,Land,Unknown,Unknown,Unknown,Unknown,Tennesee,Weather,Unknown,No,Unknown,4,0,4,None Survived
1968,Apr,Unknown,Douglas DC-3,Aerovias Rojas,Land,North America,Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,18,0,18,None Survived
1996,Oct,Unknown,de Havilland Canada DHC-6 Twin Otter 200,Malu Aviation,Land,Africa,Congo,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,21,0,6,Partial Survived
1943,Sep,Morning,Douglas C-53,Military - U.S. Army Air Forces,Land,Asia,India,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived
1975,Oct,Morning,Piper PA-34,Air Taxi,Land,North America,United States,Unknown,Unknown,Nevada,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1990,Jan,Afternoon,Tupolev TU-134A,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Weather,Snow,No,Unknown,71,0,27,Partial Survived
1986,Oct,Afternoon,Piper PA-28-181,Air Taxi - New London Flying Services Inc.,Land,North America,United States,Unknown,Unknown,New York,External,Unknown,No,Landing,4,0,2,Partial Survived
2007,Dec,Morning,Cessna 208B Caravan I Super Cargomaster,Castle Aviation,Land,North America,United States,Unknown,Unknown,Ohio,Weather,Rain,No,Unknown,2,0,2,None Survived
1999,Feb,Morning,Antonov AN-12,Savannair,Land,Africa,Angola,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,14,13,14,None Survived
1991,Dec,Morning,Douglas DC-3A,ClassiWings,Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,30,0,27,Partial Survived
1936,Dec,Morning,Douglas DC-2-115E,KLM Royal Dutch Airlines,Land,Europe,England,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,17,0,15,Partial Survived
1976,Jun,Unknown,GAF Nomad N-22B,Sabah Air,Land,Asia,Malaysia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,12,0,12,None Survived
1991,Nov,Morning,Antonov AN-24,Tartarstan Airlines,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,41,0,41,None Survived
1992,Jul,Evening,Lockheed L-1011,Trans World Airlines,Land,Unknown,New York,Unknown,Unknown,New York,Unknown,Unknown,No,Takeoff,292,0,0,All Survived
1997,Dec,Afternoon,Antonov AN-124-100,Military - Russian Air Force,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,23,44,23,None Survived
1942,Apr,Night,Lockheed 14 Electra,Guinea Airways Limited,Land,Oceania,Australia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,12,0,12,None Survived
1991,Jul,Evening,Beechcraft BE-99-C99,L'Express Airlines,Land,North America,United States,Unknown,Unknown,Alabama,Weather,Thunderstorm,No,Landing,15,0,13,Partial Survived
1944,Jun,Unknown,Lockheed 10C Electra,Varig,Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1968,Oct,Evening,Fairchild-Hiller FH227C,Northeast Airlines,Land,North America,United States,Unknown,Unknown,New Hampshire,Unknown,Unknown,No,Landing,42,0,32,Partial Survived
1957,Mar,Evening,Douglas C-54B,Alaska Airlines,Land,North America,United States,Unknown,Unknown,Washington,Unknown,Unknown,No,En Route,5,0,5,None Survived
1985,Feb,Morning,Boeing B-747-SP-09,China Airlines (Taiwan),Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,Landing,274,0,0,All Survived
1966,Dec,Morning,Douglas C-47A-80-DL,AVIANCA,Watery,South America,Colombia,River,"Cascubel River,",Unknown,Unknown,Unknown,No,Landing,29,0,29,None Survived
1933,Jan,Unknown,CAMS 53,Aeropostale,Land,Unknown,Algiers,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived
1971,Jul,Afternoon,Boeing B-747-121,Pan American World Airways,Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,Takeoff,218,0,0,All Survived
1975,Jul,Unknown,Vickers 837 Viscount,Far Eastern Air Transport,Land,Asia,Taiwan,Unknown,Unknown,Unknown,Weather,Thunderstorm,No,Landing,76,0,28,Partial Survived
1983,Mar,Morning,McDonnell Douglas DC-9-32,Avensa,Land,Unknown,Barquisimeto Venezuela,Unknown,Unknown,Unknown,Weather,Fog,No,Landing,50,0,23,Partial Survived
1991,Mar,Morning,Hindustan Aeronautics 748-2,Military - Indian Air Force,Land,Asia,India,Unknown,Unknown,Unknown,Mechanical,Unknown,No,Unknown,28,0,28,None Survived
1941,Jun,Unknown,Mitsubishi MC-20,Manchurian Air Lines,Watery,Asia,Japan,Sea,Sea Of Japan,Unknown,Unknown,Unknown,No,Unknown,18,0,18,None Survived
2002,Jul,Unknown,Britten-Norman BN-2A Islander,Sabang Merauke Raya Air Charter,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1988,Mar,Unknown,Rockwell Sabreliner 40,Military - Ecuadorian Air Force,Land,South America,Ecuador,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,11,0,11,None Survived
1942,Oct,Unknown,Handley Page HP-57 Halifax,Military - Royal Air Force,Land,Europe,Norway,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1997,Aug,Afternoon,Cessna 210,Air taxi,Land,Oceania,Australia,Unknown,Unknown,NT,Unknown,Unknown,No,Landing,5,0,5,None Survived
1975,Mar,Evening,Douglas DC-4,Air Vietnam (South Vietnam),Land,Unknown,Unknown,Unknown,Unknown,South Vietnam,External,Unknown,No,Unknown,26,0,26,None Survived
1972,Dec,Unknown,Fokker F-28 Fellowship 1000,Braathens,Land,Europe,Norway,Unknown,Unknown,Unknown,Human Error,Unknown,No,Landing,45,0,40,Partial Survived
1965,Sep,Afternoon,Beechcraft C-45H,Air America,Land,Asia,Vietnam,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
2004,Dec,Morning,Cesna 208 Caravan,Salmon Air - Air Taxi,Land,North America,United States,Unknown,Unknown,Idaho,Unknown,Unknown,No,Landing,2,0,2,None Survived
1948,Jan,Unknown,Curtiss C-46,China National Aviation Corporation,Land,Asia,China,Unknown,Unknown,Unknown,Weather,Snow,No,Unknown,11,0,3,Partial Survived
1998,Mar,Morning,Cessna 208B Caravan I Super Cargomaster,Corporate Air,Land,North America,United States,Unknown,Unknown,North Dakota,Unknown,Unknown,No,Landing,1,0,1,None Survived
1976,Apr,Afternoon,Beech B60,Chartair - Air Taxi,Land,North America,United States,Unknown,Unknown,California,Weather,Thunderstorm,No,Unknown,6,0,6,None Survived
1930,May,Unknown,Latecoere 28,Aeropostale,Land,Unknown,Buenos Aires,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,3,Partial Survived
1995,Nov,Morning,Bell 412 (helicopter),Sabah Air,Land,Asia,Malaysia,Unknown,Unknown,Unknown,Weather,Thunderstorm,No,En Route,10,0,10,None Survived
